name,company,salary,address,above500k,status
Jennifer Baker,Anderson Group,510000,"5958 Michael Village Suite 129
West Kevin, KS 65976",True,500k-1M USD
Christopher Taylor,"Rivera, Rivera and Scott",80000,"42671 Ricardo Roads
Brendantown, RI 10369",False,0k-500k USD
Melissa Wilson,"Franco, Garcia and Gomez",200000,"3103 Tammy View
Alexanderfurt, NC 63229",False,0k-500k USD
Lori Pham,Jenkins LLC,540000,"052 Allen Bridge Apt. 194
Parkerhaven, ND 81927",True,500k-1M USD
Jacqueline Foster,"Osborne, Ross and Walker",490000,"4821 Denise Curve Apt. 871
North Jill, PA 98124",False,0k-500k USD
Cassandra Howard,"Hansen, Perez and Sloan",220000,"16914 Le Road Suite 879
Shieldsshire, KS 58869",False,0k-500k USD
Amy Obrien,Pineda Inc,920000,"30884 Kevin Circles
Donnaport, AK 08626",True,500k-1M USD
Rachael Boyd,Mann Inc,690000,"USNV Kemp
FPO AE 05452",True,500k-1M USD
Shirley White,Smith-Dougherty,840000,"528 Soto Ridges Apt. 684
Christopherland, ID 19579",True,500k-1M USD
Cassandra Murillo,Lewis and Sons,90000,"2173 Yvonne Village
West Kayleeshire, WY 57737",False,0k-500k USD
Brian Watson,"Mitchell, Garrett and Hayes",440000,"USNV Sanchez
FPO AE 52495",False,0k-500k USD
Angela Mercado,Reeves PLC,620000,"3908 Eric Wall
North James, CT 69816",True,500k-1M USD
Rachel Perez,Mckinney-Travis,440000,"26463 Danielle Curve
Glennton, MD 95186",False,0k-500k USD
Mr. Lawrence Hill,Walton-Henderson,260000,"6419 Martin Port Suite 049
Port Jenniferside, RI 90155",False,0k-500k USD
Gabriel Gonzalez,Burton LLC,690000,"Unit 8682 Box 6153
DPO AP 01411",True,500k-1M USD
Justin Soto,Simmons Group,490000,"6372 Austin Lakes Apt. 498
Kevinberg, AZ 53408",False,0k-500k USD
Michelle Williams,Crawford Inc,310000,"11283 Brittney Fords Apt. 008
North Natashaton, NE 42874",False,0k-500k USD
Alexis Mcintosh,"Saunders, Walters and Moran",120000,"135 King Parkways Apt. 867
East Darryl, KS 50092",False,0k-500k USD
Deborah Byrd,Vargas PLC,600000,"5170 Garcia Ridges
North Jessicafort, WY 67130",True,500k-1M USD
James Evans,"Bruce, Kennedy and Brown",710000,"44201 Betty Crossing
Scottfort, WA 02055",True,500k-1M USD
Penny Rodgers,Olson Ltd,270000,"03366 Keller Meadows
Lake Margaretburgh, DC 82824",False,0k-500k USD
Randy Harris,Cantu-Craig,930000,"79710 Cameron Shore
South Daniel, NJ 82956",True,500k-1M USD
Ryan Key,Neal-Moore,330000,"Unit 8970 Box 5872
DPO AE 34793",False,0k-500k USD
Michael Lewis,"Rogers, Henderson and Nelson",700000,"930 Bates Glens Suite 210
Martinview, IA 33663",True,500k-1M USD
Kimberly Watson,Crosby-Macdonald,410000,"2462 Cole Plain
Jonathanville, AR 29224",False,0k-500k USD
Gregory Burns,Meyers and Sons,520000,"696 Sarah Rest
West Lisa, MT 45216",True,500k-1M USD
Jason Gonzalez,"Rowe, Matthews and Smith",640000,"68854 Alexis Grove Apt. 881
Natalieland, LA 58557",True,500k-1M USD
Manuel Gonzalez,Greer Group,610000,"6714 Robin Flat
Francoton, RI 61957",True,500k-1M USD
Tracey Smith,"Clark, Cole and Sanders",330000,"193 Daniel Highway
Joseberg, MT 19518",False,0k-500k USD
Christopher Nichols,Ward PLC,370000,"247 Dawn Orchard Apt. 863
New Chelsea, ME 05403",False,0k-500k USD
Michelle Molina,Ingram-Barton,400000,"114 Campbell Knolls
Pricestad, MI 17852",False,0k-500k USD
Jeffrey Proctor,Sanders-Carlson,150000,"00018 Hill Spur
New Kurt, WA 32476",False,0k-500k USD
Alicia Huff,"Wilson, Cook and Ayers",510000,"5453 Rickey Estate Apt. 640
Josephville, CO 66654",True,500k-1M USD
Donna Pineda,Smith-Brown,680000,"PSC 0282, Box 0719
APO AP 39919",True,500k-1M USD
Nancy Lopez,"Johnson, Patterson and Shaw",500000,"3793 Ross Ports
West Joelview, RI 76545",False,500k-1M USD
Monique Clark,"Ramirez, Barry and Cook",190000,"72923 Zachary Heights Apt. 092
Esparzamouth, ID 75872",False,0k-500k USD
Melinda Moore,Clark-Gilbert,190000,"52914 Sanchez Greens Suite 764
Stephaniemouth, UT 57238",False,0k-500k USD
Jordan Brown,"Foster, Waller and Perkins",620000,"95059 Mcguire Roads
Sanchezport, AL 04951",True,500k-1M USD
Veronica Rivera,Phillips-Santana,470000,"68728 Michelle Court Apt. 997
Susanton, FL 79742",False,0k-500k USD
